"Hot Spots - Method";"Self Time [%]";"Self Time";"Total Time";"Invocations"
"ar.edu.ungs.yamiko.ga.domain.impl.BasicIndividual.equals(Object)";"1.0349383E-5";"0.276 ms";"0.275 ms";"2600"
"ar.edu.ungs.yamiko.ga.domain.impl.DistributedPopulation.getId()";"4.8372117E-6";"0.129 ms";"0.122 ms";"72"
"ar.edu.ungs.yamiko.workflow.parallel.spark.scala.SparkParallelIslandsGA$$anonfun$run$6.apply(Object)";"4.2372476E-6";"0.113 ms";"136.619 ms";"13"
"ar.edu.ungs.yamiko.workflow.parallel.spark.scala.SparkParallelIslandsGA$$anonfun$run$6$$anonfun$apply$6.apply(Object)";"3.037319E-6";"0.081 ms";"0.158 ms";"26"
"ar.edu.ungs.yamiko.workflow.parallel.spark.scala.SparkParallelIslandsGA$$anonfun$run$4.apply(Object)";"2.7748347E-6";"0.074 ms";"541.991 ms";"13"
"ar.edu.ungs.yamiko.workflow.parallel.spark.scala.SparkParallelIslandsGA$$anonfun$run$3.apply(Object)";"2.6248435E-6";"0.07 ms";"2225060.774 ms";"13"
"java.nio.DirectByteBuffer$Deallocator.run()";"2.249866E-6";"0.06 ms";"0.06 ms";"3"
"ar.edu.ungs.yamiko.workflow.parallel.spark.scala.SparkParallelIslandsGA$$anonfun$run$6$$anonfun$apply$6.apply(scala.Tuple2)";"2.0623772E-6";"0.055 ms";"0.071 ms";"22"
"ar.edu.ungs.yamiko.workflow.parallel.spark.scala.SparkParallelIslandsGA$$anonfun$3.apply(Object)";"2.0623772E-6";"0.055 ms";"23.297 ms";"13"
"ar.edu.ungs.yamiko.workflow.parallel.spark.scala.SparkParallelIslandsGA$$anonfun$run$6$$anonfun$apply$6.<init>(ar.edu.ungs.yamiko.workflow.parallel.spark.scala.SparkParallelIslandsGA..anonfun.run.6, ar.edu.ungs.yamiko.ga.domain.impl.DistributedPopulation)";"1.6499017E-6";"0.044 ms";"0.043 ms";"13"
