"Hot Spots - Method";"Self Time [%]";"Self Time";"Self Time (CPU)";"Total Time";"Total Time (CPU)";"Samples"
"ar.edu.ungs.yamiko.problems.vrp.utils.RouteHelperScala$$anonfun$getRoutesInOneList$1.apply()";"0.0";"0.0 ms";"0.0 ms";"992.294 ms";"615.268 ms";"11"
"java.util.TimSort.mergeCollapse()";"0.0";"0.0 ms";"0.0 ms";"2082.688 ms";"1841.878 ms";"10"
"java.util.TimSort.mergeHi()";"0.0";"0.0 ms";"0.0 ms";"1613.561 ms";"1208.09 ms";"8"
"ar.edu.ungs.yamiko.problems.vrp.CVRPTWSimpleFitnessEvaluator.calcCapacityPenalty()";"0.0";"0.0 ms";"0.0 ms";"1466.902 ms";"998.118 ms";"8"
"java.util.TimSort.binarySort()";"0.0";"0.0 ms";"0.0 ms";"1373.499 ms";"1146.753 ms";"7"
"java.util.TimSort.mergeLo()";"0.0";"0.0 ms";"0.0 ms";"1258.276 ms";"1017.466 ms";"6"
"java.util.TimSort.mergeForceCollapse()";"0.0";"0.0 ms";"0.0 ms";"789.15 ms";"383.679 ms";"4"
"ar.edu.ungs.yaf.vrp.BestCostMatrix$$anonfun$insertBC$1$$anonfun$apply$mcVI$sp$1.<init>()";"0.0";"0.0 ms";"0.0 ms";"795.481 ms";"187.108 ms";"4"
"java.util.TimSort.countRunAndMakeAscending()";"0.0";"0.0 ms";"0.0 ms";"740.489 ms";"391.817 ms";"4"
"ar.edu.ungs.yamiko.ga.domain.impl.DistributedPopulation.replacePopulation()";"0.0";"0.0 ms";"0.0 ms";"802.744 ms";"802.744 ms";"4"
"ar.edu.ungs.yamiko.problems.vrp.utils.RouteHelperScala$$anonfun$getRoutesInOneList$2$$anonfun$apply$1.<init>()";"0.0";"0.0 ms";"0.0 ms";"670.588 ms";"492.251 ms";"4"
"ar.edu.ungs.yamiko.problems.vrp.utils.ScalaAdaptor$$anonfun$toScala$2.<init>()";"0.0";"0.0 ms";"0.0 ms";"796.191 ms";"796.191 ms";"4"
"ar.edu.ungs.yaf.vrp.BestCostMatrix$$anonfun$insertBC$1$$anonfun$apply$mcVI$sp$1$$anonfun$apply$mcV$sp$1.<init>()";"0.0";"0.0 ms";"0.0 ms";"532.176 ms";"0.0 ms";"4"
"ar.edu.ungs.yaf.vrp.SBXCrossOverScala$$anonfun$execute$3.<init>()";"0.0";"0.0 ms";"0.0 ms";"600.198 ms";"600.198 ms";"3"
"ar.edu.ungs.yaf.vrp.BestCostMatrix$$anonfun$insertBC$1$$anonfun$apply$mcVI$sp$1$$anonfun$apply$mcV$sp$1$$anonfun$1.<init>()";"0.0";"0.0 ms";"0.0 ms";"766.981 ms";"0.0 ms";"3"
"ar.edu.ungs.yamiko.problems.vrp.GVRMutatorRandom.execute()";"0.0";"0.0 ms";"0.0 ms";"402.118 ms";"402.118 ms";"2"
"ar.edu.ungs.yamiko.workflow.parallel.spark.scala.SparkParallelIslandsGA$$anonfun$run$6.apply()";"0.0";"0.0 ms";"0.0 ms";"206.464 ms";"206.464 ms";"2"
"ar.edu.ungs.yamiko.problems.vrp.utils.RouteHelperScala$$anonfun$getRoutesModelFromRoute$1.<init>()";"0.0";"0.0 ms";"0.0 ms";"389.818 ms";"389.818 ms";"2"
"ar.edu.ungs.yamiko.ga.toolkit.StaticHelper.getNewId()";"0.0";"0.0 ms";"0.0 ms";"398.964 ms";"398.964 ms";"2"
"ar.edu.ungs.yamiko.problems.vrp.CVRPTWSimpleFitnessEvaluator.calcMaxTimeRoute()";"0.0";"0.0 ms";"0.0 ms";"377.156 ms";"377.156 ms";"2"
"ar.edu.ungs.yamiko.ga.domain.impl.BasicGenotype.<init>()";"0.0";"0.0 ms";"0.0 ms";"385.122 ms";"0.0 ms";"2"
"ar.edu.ungs.yaf.vrp.SBXCrossOverScala$$anonfun$execute$2.<init>()";"0.0";"0.0 ms";"0.0 ms";"335.628 ms";"335.628 ms";"2"
"ar.edu.ungs.yaf.vrp.SBXCrossOverScala$$anonfun$execute$4.<init>()";"0.0";"0.0 ms";"0.0 ms";"202.455 ms";"202.455 ms";"1"
"ar.edu.ungs.yamiko.problems.vrp.GVRMutatorDisplacement.execute()";"0.0";"0.0 ms";"0.0 ms";"199.997 ms";"199.997 ms";"1"
"ar.edu.ungs.yamiko.problems.vrp.utils.RouteHelper.getRoutesFromInd()";"0.0";"0.0 ms";"0.0 ms";"199.076 ms";"199.076 ms";"1"
"ar.edu.ungs.yamiko.problems.vrp.problems.CVRPTWCordeau101GeoParallelScalaIsland.main()";"0.0";"0.0 ms";"0.0 ms";"7090669.389 ms";"2117.945 ms";"1"
"ar.edu.ungs.yamiko.problems.vrp.problems.CVRPTWCordeau101GeoParallelScalaIsland$.main()";"0.0";"0.0 ms";"0.0 ms";"7090669.389 ms";"2117.945 ms";"1"
"ar.edu.ungs.yamiko.workflow.parallel.spark.scala.SparkParallelIslandsGA$$anonfun$run$3$$anonfun$apply$2$$anonfun$apply$3.<init>()";"0.0";"0.0 ms";"0.0 ms";"202.784 ms";"202.784 ms";"1"
"ar.edu.ungs.yamiko.ga.domain.impl.BasicChromosome.<init>()";"0.0";"0.0 ms";"0.0 ms";"199.696 ms";"199.696 ms";"1"
